Year,Player,Selling club,Buying club,Fee (£)
1893, Willie Groves, West Bromwich Albion, Aston Villa,100[2]
1903, Ben Green, Barnsley, Small Heath,500[77]
1904, Alf Common (1), Sheffield United, Sunderland,520[78]
1904, Andy McCombie, Sunderland, Newcastle United,700[79]
1905, Alf Common (2), Sunderland, Middlesbrough,"1,000[80]"
1913, Daniel Shea, West Ham United, Blackburn Rovers,"2,000[81]"
1913, Tommy Barber, Bolton Wanderers, Aston Villa,"2,000[82]"
1914, Percy Dawson, Heart of Midlothian, Blackburn Rovers,"2,500[83]"
1920, David Jack (1), Plymouth Argyle, Bolton Wanderers,"3,500[84]"
1921, Tom Hamilton, Kilmarnock, Preston North End,"4,600[85]"
1922, Syd Puddefoot, West Ham United, Falkirk,"5,000[86]"
1922, Warney Cresswell, South Shields, Sunderland,"5,500[87]"
1925, Bob Kelly, Burnley, Sunderland,"6,500[88]"
1928, David Jack (2), Bolton Wanderers, Arsenal,"10,890[89]"
1932, Bernabé Ferreyra, Tigre, River Plate,"23,000[89]"
1949, Johnny Morris, Manchester United, Derby County,"24,000[88]"
1949, Eddie Quigley, Sheffield Wednesday, Preston North End,"26,500[88]"
1950, Trevor Ford, Aston Villa, Sunderland,"30,000[88]"
1951, Jackie Sewell, Notts County, Sheffield Wednesday,"34,500[88]"
1952, Hans Jeppson, Atalanta, Napoli,"52,000[89]"
1954, Juan Schiaffino, Peñarol, Milan,"72,000[89]"
1957, Omar Sivori, River Plate, Juventus,"93,000[89]"
1961, Luis Suárez, Barcelona, Inter Milan,"152,000[89]"
1963, Angelo Sormani, Mantova, Roma,"250,000[89]"
1967, Harald Nielsen, Bologna, Inter Milan,"300,000[90]"
1968, Pietro Anastasi, Varese, Juventus,"500,000[89]"
1973, Johan Cruyff, Ajax, Barcelona,"922,000[89]"
1975, Giuseppe Savoldi, Bologna, Napoli,"1,200,000[89]"
1976, Paolo Rossi, Vicenza, Juventus,"1,750,000[89]"
1982, Diego Maradona (1), Boca Juniors, Barcelona,"3,000,000[89]"
1984, Diego Maradona (2), Barcelona, Napoli,"5,000,000[89]"
1987, Ruud Gullit, PSV Eindhoven, Milan,"6,000,000[89]"
1990, Roberto Baggio, Fiorentina, Juventus,"8,000,000[89]"
1992, Jean-Pierre Papin, Marseille, Milan,"10,000,000[89]"
1992, Gianluca Vialli, Sampdoria, Juventus,"12,000,000[89]"
1992, Gianluigi Lentini, Torino, Milan,"13,000,000[89]"
1996, Ronaldo (1), PSV Eindhoven, Barcelona,"13,200,000[89]"
1996, Alan Shearer, Blackburn Rovers, Newcastle United,"15,000,000[91]"
1997, Ronaldo (2), Barcelona, Inter Milan,"19,500,000[89]"
1998, Denílson, São Paulo, Real Betis,"21,500,000[92][93]"
1999, Christian Vieri, Lazio, Inter Milan,"32,000,000[94]"
2000, Hernán Crespo, Parma, Lazio,"35,500,000[94]"
2000, Luís Figo, Barcelona, Real Madrid,"37,000,000[94]"
2001, Zinedine Zidane, Juventus, Real Madrid,"46,600,000[94]"
2009, Kaká, Milan, Real Madrid,"56,000,000[95]"
2009, Cristiano Ronaldo, Manchester United, Real Madrid,"80,000,000[96]"
2013, Gareth Bale, Tottenham Hotspur, Real Madrid,"86,000,000[97]"
2016, Paul Pogba, Juventus, Manchester United,"89,000,000[98]"
2017, Neymar, Barcelona, Paris Saint-Germain,"198,000,000[3][4]"
